"","Station","Year","Area","Species","Latitude","Longitude","CPUE","SST_cvW","SST_cvW5","SST_cvW4","SST_cvW3","SST_cvW2","SST_cvW1"
"2092",62,1990,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,1.212,0.222323652807139,0.252917174012545,0.209706421030686,0.187888828343584,0.195080448781049,0.296625031477398
"2093",62,1991,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.645,0.236036478854249,0.209706421030686,0.187888828343584,0.195080448781049,0.296625031477398,0.222323652807139
"2094",62,1992,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,2.661,0.252917174012545,0.187888828343584,0.195080448781049,0.296625031477398,0.222323652807139,0.236036478854249
"2095",62,1993,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,1.947,0.209706421030686,0.195080448781049,0.296625031477398,0.222323652807139,0.236036478854249,0.252917174012545
"2096",62,1994,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,1.767,0.187888828343584,0.296625031477398,0.222323652807139,0.236036478854249,0.252917174012545,0.209706421030686
"2097",62,1995,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,1.841,0.217852956648344,0.222323652807139,0.236036478854249,0.252917174012545,0.209706421030686,0.187888828343584
"2098",62,1996,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,1.176,0.16004393557677,0.236036478854249,0.252917174012545,0.209706421030686,0.187888828343584,0.217852956648344
"2099",62,1997,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,1.101,0.225799953428894,0.252917174012545,0.209706421030686,0.187888828343584,0.217852956648344,0.16004393557677
"2100",62,1998,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.568,0.188500590480859,0.209706421030686,0.187888828343584,0.217852956648344,0.16004393557677,0.225799953428894
"2101",62,1999,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.684,0.295056668565747,0.187888828343584,0.217852956648344,0.16004393557677,0.225799953428894,0.188500590480859
"2102",62,2000,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.319,0.27587180798173,0.217852956648344,0.16004393557677,0.225799953428894,0.188500590480859,0.295056668565747
"2103",62,2001,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.256,0.149608275019584,0.16004393557677,0.225799953428894,0.188500590480859,0.295056668565747,0.27587180798173
"2104",62,2002,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.593,0.223540089058642,0.225799953428894,0.188500590480859,0.295056668565747,0.27587180798173,0.149608275019584
"2105",62,2003,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.705,0.130414360365511,0.188500590480859,0.295056668565747,0.27587180798173,0.149608275019584,0.223540089058642
"2106",62,2004,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.113,0.265595108957501,0.295056668565747,0.27587180798173,0.149608275019584,0.223540089058642,0.130414360365511
"2107",62,2005,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.053,0.144282946390491,0.27587180798173,0.149608275019584,0.223540089058642,0.130414360365511,0.265595108957501
"2108",62,2006,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.284,0.211839856124242,0.149608275019584,0.223540089058642,0.130414360365511,0.265595108957501,0.144282946390491
"2109",62,2007,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.135,0.296580767200029,0.223540089058642,0.130414360365511,0.265595108957501,0.144282946390491,0.211839856124242
"2110",62,2008,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.101,0.282426525847681,0.130414360365511,0.265595108957501,0.144282946390491,0.211839856124242,0.296580767200029
"2111",62,2009,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.677,0.286536212067052,0.265595108957501,0.144282946390491,0.211839856124242,0.296580767200029,0.282426525847681
"2112",62,2010,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.903,0.15051170468182,0.144282946390491,0.211839856124242,0.296580767200029,0.282426525847681,0.286536212067052
"2113",62,2011,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.468,0.230091002561489,0.211839856124242,0.296580767200029,0.282426525847681,0.286536212067052,0.15051170468182
"2114",62,2012,"Western Gulf of Alaska","Pacific cod",52.663,-168.988,0.628,0.410638275356915,0.296580767200029,0.282426525847681,0.286536212067052,0.15051170468182,0.230091002561489
"2117",63,1990,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,1.212,0.223139338334746,0.24897053204295,0.227720639555541,0.192935334830919,0.212028312124046,0.299263754369834
"2118",63,1991,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.645,0.251548013695344,0.227720639555541,0.192935334830919,0.212028312124046,0.299263754369834,0.223139338334746
"2119",63,1992,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,2.661,0.24897053204295,0.192935334830919,0.212028312124046,0.299263754369834,0.223139338334746,0.251548013695344
"2120",63,1993,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,1.947,0.227720639555541,0.212028312124046,0.299263754369834,0.223139338334746,0.251548013695344,0.24897053204295
"2121",63,1994,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,1.767,0.192935334830919,0.299263754369834,0.223139338334746,0.251548013695344,0.24897053204295,0.227720639555541
"2122",63,1995,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,1.841,0.220351219530143,0.223139338334746,0.251548013695344,0.24897053204295,0.227720639555541,0.192935334830919
"2123",63,1996,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,1.176,0.180955439045267,0.251548013695344,0.24897053204295,0.227720639555541,0.192935334830919,0.220351219530143
"2124",63,1997,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,1.101,0.23783780896723,0.24897053204295,0.227720639555541,0.192935334830919,0.220351219530143,0.180955439045267
"2125",63,1998,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.568,0.211490638522481,0.227720639555541,0.192935334830919,0.220351219530143,0.180955439045267,0.23783780896723
"2126",63,1999,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.684,0.291612556849242,0.192935334830919,0.220351219530143,0.180955439045267,0.23783780896723,0.211490638522481
"2127",63,2000,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.319,0.277527434130118,0.220351219530143,0.180955439045267,0.23783780896723,0.211490638522481,0.291612556849242
"2128",63,2001,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.256,0.155504995728353,0.180955439045267,0.23783780896723,0.211490638522481,0.291612556849242,0.277527434130118
"2129",63,2002,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.593,0.231508937663583,0.23783780896723,0.211490638522481,0.291612556849242,0.277527434130118,0.155504995728353
"2130",63,2003,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.705,0.139184799912002,0.211490638522481,0.291612556849242,0.277527434130118,0.155504995728353,0.231508937663583
"2131",63,2004,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.113,0.285490955491581,0.291612556849242,0.277527434130118,0.155504995728353,0.231508937663583,0.139184799912002
"2132",63,2005,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.053,0.134107445971342,0.277527434130118,0.155504995728353,0.231508937663583,0.139184799912002,0.285490955491581
"2133",63,2006,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.284,0.213927339937143,0.155504995728353,0.231508937663583,0.139184799912002,0.285490955491581,0.134107445971342
"2134",63,2007,"Western Gulf of Alaska","Pacific cod",52.965,-168.135,0.135,0.329044178616109,0.231508937663583,0.139184799912002,0.285490955491581,0.134107445971342,0.213927339937143
