NID,dtn,dtp,dtcf,aua,nl,latte,grasso,prot,scs,kg_grs,kg_prt
V1,25/12/06,26/07/2014,07/01/2015,2781016,6,22.7,3.89,3.17,71,0.88303,0.71959
V1,25/12/06,02/07/2015,07/06/2016,2781016,7,20.8,4.43,3.56,266,0.92144,0.74048
V1,25/12/06,26/07/2014,10/02/2015,2781016,6,22.9,3.58,3.2,86,0.81982,0.7328
V1,25/12/06,02/07/2015,12/01/2016,2781016,7,22.9,4.41,3.66,591,1.00989,0.83814
V1,25/12/06,02/07/2015,16/02/2016,2781016,7,19.9,4.57,3.25,1444,0.90943,0.64675
V1,25/12/06,26/07/2014,17/03/2015,2781016,6,17.6,3.41,3.65,51,0.60016,0.6424
V1,25/12/06,02/07/2015,23/03/2016,2781016,7,19.1,5.46,3.67,554,1.04286,0.70097
V1,25/12/06,02/07/2015,26/08/2015,2781016,7,25.3,4,2.71,80,1.012,0.68563
V1,25/12/06,02/07/2015,28/04/2016,2781016,7,21.7,4.63,3.85,328,1.00471,0.83545
V1,25/12/06,02/07/2015,29/09/2015,2781016,7,27,5.7,2.93,86,1.539,0.7911
V2,03/12/11,21/07/2017,02/11/2017,2796407,4,19.5,4.01,3.69,2199,0.78195,0.71955
V2,03/12/11,12/03/2015,03/04/2015,2796407,2,25.3,4.32,3.39,52,1.09296,0.85767
V2,03/12/11,14/07/2016,05/05/2017,2796407,3,14.2,4.65,4.24,192,0.6603,0.60208
V2,03/12/11,12/03/2015,05/09/2015,2796407,2,16,3.6,3.46,103,0.576,0.5536
V2,03/12/11,12/03/2015,13/01/2016,2796407,2,11.3,4.84,4.23,319,0.54692,0.47799
V2,03/12/11,14/07/2016,13/01/2017,2796407,3,17.7,4.84,4.34,73,0.85668,0.76818
V2,03/12/11,12/03/2015,13/05/2015,2796407,2,20.1,3.22,3.1,196,0.64722,0.6231
V2,03/12/11,14/07/2016,13/09/2016,2796407,3,18.8,3.91,3.63,48,0.73508,0.68244
V2,03/12/11,12/03/2015,13/10/2015,2796407,2,16,4.01,3.88,99,0.6416,0.6208
V2,03/12/11,21/07/2017,13/12/2017,2796407,4,18.9,3.75,3.86,416,0.70875,0.72954
V2,03/12/11,12/03/2015,18/02/2016,2796407,2,12.8,4.59,3.89,2140,0.58752,0.49792
V2,03/12/11,12/03/2015,18/06/2015,2796407,2,17.1,3.39,3.06,280,0.57969,0.52326
V2,03/12/11,12/03/2015,18/11/2015,2796407,2,16.4,4.59,3.92,113,0.75276,0.64288
V2,03/12/11,14/07/2016,19/07/2016,2796407,3,19.9,4.36,4.32,360,0.86764,0.85968
V2,03/12/11,14/07/2016,21/10/2016,2796407,3,16,4.34,3.74,60,0.6944,0.5984
V2,03/12/11,14/07/2016,22/02/2017,2796407,3,15.2,4.43,3.84,94,0.67336,0.58368
V2,03/12/11,21/07/2017,22/09/2017,2796407,4,19.9,4.07,3.35,252,0.80993,0.66665
V2,03/12/11,13/02/2014,23/01/2015,2796407,1,15.4,4.11,3.73,307,0.63294,0.57442
V2,03/12/11,21/07/2017,25/01/2018,2796407,4,15.2,3.9,3.9,659,0.5928,0.5928
V2,03/12/11,12/03/2015,28/07/2015,2796407,2,14.3,3.82,3.31,6497,0.54626,0.47333
V2,03/12/11,14/07/2016,29/03/2017,2796407,3,12.5,4.5,3.95,323,0.5625,0.49375
V2,03/12/11,14/07/2016,30/11/2016,2796407,3,13.9,4.37,4.07,63,0.60743,0.56573
V3,03/12/12,14/05/2016,15/09/2016,2722109,1,11.3,3.77,3.24,25,0.42601,0.36612
V3,03/12/12,14/05/2016,15/12/2016,2722109,1,10,4.38,3.94,74,0.438,0.394
V3,03/12/12,14/05/2016,16/11/2016,2722109,1,12.8,4.05,3.94,41,0.5184,0.50432
V3,03/12/12,14/05/2016,18/10/2016,2722109,1,10,5.32,3.84,72,0.532,0.384
V3,03/12/12,14/05/2016,19/01/2017,2722109,1,11.7,4.33,4.09,48,0.50661,0.47853
V3,03/12/12,14/05/2016,19/05/2016,2722109,1,23.7,4.79,4.36,45,1.13523,1.03332
V3,03/12/12,14/05/2016,20/02/2017,2722109,1,12.6,4.29,4.01,30,0.54054,0.50526
V3,03/12/12,14/05/2016,21/06/2016,2722109,1,20.1,3.45,3.52,40,0.69345,0.70752
V3,03/12/12,14/05/2016,22/07/2016,2722109,1,18.2,4.61,3.22,78,0.83902,0.58604
V3,03/12/12,14/05/2016,25/03/2017,2722109,1,8.9,3.66,4.13,41,0.32574,0.36757
V3,03/12/12,14/05/2016,28/04/2017,2722109,1,11.2,4.84,4.09,71,0.54208,0.45808
V4,29/07/12,06/11/2014,02/03/2015,2781028,1,25.3,4.42,3.81,14,1.11826,0.96393
V4,29/07/12,06/04/2017,06/06/2017,2781028,3,28.1,3.38,3.47,17,0.94978,0.97507
V4,29/07/12,06/04/2017,06/09/2017,2781028,3,25,3.6,3.75,22,0.9,0.9375
V4,29/07/12,04/03/2016,07/06/2016,2781028,2,32.4,3.23,3.41,9,1.04652,1.10484
V4,29/07/12,04/03/2016,09/01/2017,2781028,2,25.6,4.15,4.22,17,1.0624,1.08032
V4,29/07/12,06/11/2014,13/04/2015,2781028,1,23.8,3.71,3.65,16,0.88298,0.8687
V4,29/07/12,04/03/2016,13/07/2016,2781028,2,30.2,2.9,3.32,4,0.8758,1.00264
V4,29/07/12,06/04/2017,13/07/2017,2781028,3,18.2,3.81,3.7,55,0.69342,0.6734
V4,29/07/12,04/03/2016,13/09/2016,2781028,2,26.4,3.51,3.41,5,0.92664,0.90024
V4,29/07/12,04/03/2016,14/02/2017,2781028,2,21.4,5.32,4.21,28,1.13848,0.90094
V4,29/07/12,06/11/2014,14/09/2015,2781028,1,24.7,3.56,3.89,19,0.87932,0.96083
V4,29/07/12,06/04/2017,15/01/2018,2781028,3,13.8,4.49,4.43,146,0.61962,0.61134
V4,29/07/12,06/11/2014,15/05/2015,2781028,1,24.2,5.25,3.94,19,1.2705,0.95348
V4,29/07/12,06/04/2017,16/10/2017,2781028,3,17.1,4.4,4.21,65,0.7524,0.71991
V4,29/07/12,04/03/2016,18/10/2016,2781028,2,26.1,3.7,3.77,20,0.9657,0.98397
V4,29/07/12,06/11/2014,19/10/2015,2781028,1,22.1,3.76,4.21,32,0.83096,0.93041
V4,29/07/12,06/04/2017,21/11/2017,2781028,3,17.6,4.23,4.26,64,0.74448,0.74976
V4,29/07/12,06/11/2014,22/01/2015,2781028,1,24.3,3.94,3.31,11,0.95742,0.80433
V4,29/07/12,06/11/2014,22/06/2015,2781028,1,22.5,3.59,3.62,11,0.80775,0.8145
V4,29/07/12,04/03/2016,23/03/2016,2781028,2,38.4,3.7,3.25,11,1.4208,1.248
V4,29/07/12,06/11/2014,24/07/2015,2781028,1,22.2,3.31,3.74,9,0.73482,0.83028
V4,29/07/12,04/03/2016,28/11/2016,2781028,2,25.5,4.4,4.09,16,1.122,1.04295
V4,29/07/12,04/03/2016,29/04/2016,2781028,2,33.6,3.06,2.98,11,1.02816,1.00128
V5,26/12/13,17/09/2016,09/01/2017,2722692,1,21.8,4.22,3.44,35,0.91996,0.74992
V5,26/12/13,17/09/2016,14/02/2017,2722692,1,18.1,3.63,3.08,18,0.65703,0.55748
V5,26/12/13,17/09/2016,14/07/2017,2722692,1,8.7,4.38,3.3,13,0.38106,0.2871
V5,26/12/13,17/09/2016,18/10/2016,2722692,1,18.9,3.44,3.09,11,0.65016,0.58401
V5,26/12/13,17/09/2016,20/03/2017,2722692,1,13,3.75,3.23,17,0.4875,0.4199
V5,26/12/13,17/09/2016,26/04/2017,2722692,1,13.1,3.69,3.06,16,0.48339,0.40086
V5,26/12/13,17/09/2016,26/11/2016,2722692,1,18,3.83,3.15,11,0.6894,0.567
V6,26/10/08,06/11/2015,01/02/2016,2731005,4,27.9,3.61,2.91,609,1.00719,0.81189
V6,26/10/08,06/11/2015,08/03/2016,2731005,4,23.6,4.28,3.44,2300,1.01008,0.81184
V6,26/10/08,06/11/2015,13/04/2016,2731005,4,17.2,4.67,3.43,2493,0.80324,0.58996
V6,26/10/08,06/11/2015,20/05/2016,2731005,4,24.5,4.34,3.69,2675,1.0633,0.90405
V6,26/10/08,06/11/2015,20/11/2015,2731005,4,27.9,4.21,3.51,147,1.17459,0.97929
V6,26/10/08,06/11/2015,22/12/2015,2731005,4,30.6,3.88,2.92,304,1.18728,0.89352
V6,26/10/08,06/11/2015,28/06/2016,2731005,4,19.1,3.43,3.26,68,0.65513,0.62266
V7,07/09/12,17/01/2015,03/04/2015,2796407,1,23.9,3.69,2.94,223,0.88191,0.70266
V7,07/09/12,04/01/2016,03/05/2016,2796407,2,20.2,3.62,3.18,162,0.73124,0.64236
V7,07/09/12,13/02/2017,05/05/2017,2796407,3,24.9,3.65,3.12,43,0.90885,0.77688
V7,07/09/12,17/01/2015,05/09/2015,2796407,1,15.1,3.85,3.89,224,0.58135,0.58739
V7,07/09/12,04/01/2016,10/06/2016,2796407,2,20.8,3.37,3.38,65,0.70096,0.70304
V7,07/09/12,04/01/2016,13/01/2016,2796407,2,23.3,3.9,3.66,163,0.9087,0.85278
V7,07/09/12,17/01/2015,13/05/2015,2796407,1,23.1,3.11,3.01,389,0.71841,0.69531
V7,07/09/12,04/01/2016,13/09/2016,2796407,2,15.4,3.82,3.98,171,0.58828,0.61292
V7,07/09/12,17/01/2015,13/10/2015,2796407,1,10.7,5,4.91,1473,0.535,0.52537
V7,07/09/12,13/02/2017,15/06/2017,2796407,3,24.3,3.53,3.2,53,0.85779,0.7776
V7,07/09/12,04/01/2016,18/02/2016,2796407,2,26.8,3.32,2.9,223,0.88976,0.7772
V7,07/09/12,17/01/2015,18/06/2015,2796407,1,19.1,3.39,3.2,136,0.64749,0.6112
V7,07/09/12,17/01/2015,18/11/2015,2796407,1,11.6,5.63,5.14,959,0.65308,0.59624
V7,07/09/12,04/01/2016,19/07/2016,2796407,2,17.7,3.52,3.32,106,0.62304,0.58764
V7,07/09/12,04/01/2016,21/10/2016,2796407,2,11.5,4.84,4.45,125,0.5566,0.51175
V7,07/09/12,13/02/2017,22/02/2017,2796407,3,23.8,4.5,3.86,3851,1.071,0.91868
V7,07/09/12,13/02/2017,22/09/2017,2796407,3,17.3,3.92,3.79,116,0.67816,0.65567
V7,07/09/12,17/01/2015,23/01/2015,2796407,1,23.2,4.73,3.94,1930,1.09736,0.91408
V7,07/09/12,04/01/2016,24/03/2016,2796407,2,22.6,3.73,2.85,192,0.84298,0.6441
V7,07/09/12,13/02/2017,25/07/2017,2796407,3,23.1,3.67,3.3,63,0.84777,0.7623
V7,07/09/12,17/01/2015,26/02/2015,2796407,1,28.3,4.19,2.59,303,1.18577,0.73297
V7,07/09/12,17/01/2015,28/07/2015,2796407,1,16.5,3.96,3.5,232,0.6534,0.5775
V7,07/09/12,13/02/2017,29/03/2017,2796407,3,27.6,3.94,2.8,107,1.08744,0.7728
V7,07/09/12,04/01/2016,30/11/2016,2796407,2,4,4.69,5.03,252,0.1876,0.2012
V8,18/01/13,17/04/2016,06/07/2016,2752236,2,19.5,3.47,3.14,107,0.67665,0.6123
V8,18/01/13,24/02/2015,07/10/2015,2752236,1,10.8,3.56,3.71,39,0.38448,0.40068
V8,18/01/13,24/02/2015,13/11/2015,2752236,1,12,4.07,3.66,31,0.4884,0.4392
V8,18/01/13,24/02/2015,18/12/2015,2752236,1,9.2,4.13,3.96,24,0.37996,0.36432
V8,18/01/13,24/02/2015,19/05/2015,2752236,1,17.4,3.55,3.08,17,0.6177,0.53592
V8,18/01/13,24/02/2015,26/06/2015,2752236,1,12.5,3.69,3.39,622,0.46125,0.42375
