Id	sex	measurement	weight	age	mother
1	male	day1	320	4	Flor
1	male	day2	400	5	Flor
1	male	day3	440	6	Flor
1	male	day4	500	7	Flor
1	male	day5	580	8	Flor
1	male	day6	560	9	Flor
1	male	day7	680	10	Flor
1	male	day8	760	11	Flor
1	male	day9	860	12	Flor
1	male	day910	850	13	Flor
1	male	day911	1000	14	Flor
1	male	day912	1100	15	Flor
2	female	day1	270	4	Flor
2	female	day2	300	5	Flor
2	female	day3	330	6	Flor
2	female	day4	400	7	Flor
2	female	day5	430	8	Flor
2	female	day6	480	9	Flor
2	female	day7	560	10	Flor
2	female	day8	580	11	Flor
2	female	day9	630	12	Flor
2	female	day910	700	13	Flor
2	female	day911	770	14	Flor
2	female	day912	820	15	Flor
3	female	day1	550	4	Blossom
3	female	day2	630	5	Blossom
3	female	day3	720	6	Blossom
3	female	day4	780	7	Blossom
3	female	day5	900	8	Blossom
3	female	day6	980	9	Blossom
3	female	day7	1050	10	Blossom
3	female	day8	1140	11	Blossom
3	female	day9	1240	12	Blossom
3	female	day910	1370	13	Blossom
3	female	day911	1480	14	Blossom
3	female	day912	1560	15	Blossom
4	male	day1	394	4	Blossom
4	male	day2	392	5	Blossom
4	male	day3	470	6	Blossom
4	male	day4	525	7	Blossom
4	male	day5	573	8	Blossom
4	male	day6	622	9	Blossom
4	male	day7	630	10	Blossom
4	male	day8	736	11	Blossom
4	male	day9	808	12	Blossom
4	male	day910	890	13	Blossom
4	male	day911	925	14	Blossom
4	male	day912	1000	15	Blossom
5	male	day1	520	4	Jodie
5	male	day2	544	5	Jodie
5	male	day3	646	6	Jodie
5	male	day4	731	7	Jodie
5	male	day5	798	8	Jodie
5	male	day6	840	9	Jodie
5	male	day7	945	10	Jodie
5	male	day8	900	11	Jodie
5	male	day9	1040	12	Jodie
5	male	day910	1127	13	Jodie
5	male	day911	1239	14	Jodie
5	male	day912	1315	15	Jodie
6	male	day1	340	4	Flor
6	male	day2	400	5	Flor
6	male	day3	460	6	Flor
6	male	day4	520	7	Flor
6	male	day5	530	8	Flor
6	male	day6	600	9	Flor
6	male	day7	620	10	Flor
6	male	day8	700	11	Flor
6	male	day9	760	12	Flor
6	male	day910	850	13	Flor
6	male	day911	940	14	Flor
6	male	day912	1030	15	Flor
7	male	day1	380	4	Flor
7	male	day2	420	5	Flor
7	male	day3	500	6	Flor
7	male	day4	600	7	Flor
7	male	day5	640	8	Flor
7	male	day6	760	9	Flor
7	male	day7	800	10	Flor
7	male	day8	880	11	Flor
7	male	day9	1000	12	Flor
7	male	day910	1100	13	Flor
7	male	day911	1180	14	Flor
7	male	day912	1250	15	Flor
8	male	day1	400	4	Flor
8	male	day2	420	5	Flor
8	male	day3	540	6	Flor
8	male	day4	600	7	Flor
8	male	day5	650	8	Flor
8	male	day6	760	9	Flor
8	male	day7	800	10	Flor
8	male	day8	860	11	Flor
8	male	day9	980	12	Flor
8	male	day910	1050	13	Flor
8	male	day911	1120	14	Flor
8	male	day912	1170	15	Flor
9	female	day1	440	4	Blossom
9	female	day2	540	5	Blossom
9	female	day3	600	6	Blossom
9	female	day4	680	7	Blossom
9	female	day5	750	8	Blossom
9	female	day6	830	9	Blossom
9	female	day7	920	10	Blossom
9	female	day8	1000	11	Blossom
9	female	day9	1140	12	Blossom
9	female	day910	1200	13	Blossom
9	female	day911	1260	14	Blossom
9	female	day912	1360	15	Blossom
10	male	day1	440	4	Blossom
10	male	day2	540	5	Blossom
10	male	day3	580	6	Blossom
10	male	day4	680	7	Blossom
10	male	day5	760	8	Blossom
10	male	day6	840	9	Blossom
10	male	day7	930	10	Blossom
10	male	day8	1000	11	Blossom
10	male	day9	1050	12	Blossom
10	male	day910	1170	13	Blossom
10	male	day911	1250	14	Blossom
10	male	day912	1400	15	Blossom
11	female	day1	361	4	Blossom
11	female	day2	405	5	Blossom
11	female	day3	466	6	Blossom
11	female	day4	497	7	Blossom
11	female	day5	552	8	Blossom
11	female	day6	610	9	Blossom
11	female	day7	658	10	Blossom
11	female	day8	725	11	Blossom
11	female	day9	834	12	Blossom
11	female	day910	868	13	Blossom
11	female	day911	930	14	Blossom
11	female	day912	1070	15	Blossom
12	female	day1	329	4	Blossom
12	female	day2	360	5	Blossom
12	female	day3	396	6	Blossom
12	female	day4	422	7	Blossom
12	female	day5	474	8	Blossom
12	female	day6	534	9	Blossom
12	female	day7	574	10	Blossom
12	female	day8	630	11	Blossom
12	female	day9	653	12	Blossom
12	female	day910	750	13	Blossom
12	female	day911	788	14	Blossom
12	female	day912	870	15	Blossom
13	female	day1	339	4	Blossom
13	female	day2	394	5	Blossom
13	female	day3	436	6	Blossom
13	female	day4	487	7	Blossom
13	female	day5	530	8	Blossom
13	female	day6	598	9	Blossom
13	female	day7	668	10	Blossom
13	female	day8	724	11	Blossom
13	female	day9	778	12	Blossom
13	female	day910	806	13	Blossom
13	female	day911	908	14	Blossom
13	female	day912	995	15	Blossom
14	male	day1	385	4	Blossom
14	male	day2	444	5	Blossom
14	male	day3	498	6	Blossom
14	male	day4	560	7	Blossom
14	male	day5	594	8	Blossom
14	male	day6	715	9	Blossom
14	male	day7	738	10	Blossom
14	male	day8	794	11	Blossom
14	male	day9	832	12	Blossom
14	male	day910	905	13	Blossom
14	male	day911	1050	14	Blossom
14	male	day912	1125	15	Blossom
15	male	day1	337	4	Blossom
15	male	day2	351	5	Blossom
15	male	day3	408	6	Blossom
15	male	day4	456	7	Blossom
15	male	day5	520	8	Blossom
15	male	day6	571	9	Blossom
15	male	day7	625	10	Blossom
15	male	day8	700	11	Blossom
15	male	day9	773	12	Blossom
15	male	day910	863	13	Blossom
15	male	day911	910	14	Blossom
15	male	day912	1060	15	Blossom
16	male	day1	515	4	Jodie
16	male	day2	592	5	Jodie
16	male	day3	643	6	Jodie
16	male	day4	712	7	Jodie
16	male	day5	753	8	Jodie
16	male	day6	871	9	Jodie
16	male	day7	950	10	Jodie
16	male	day8	920	11	Jodie
16	male	day9	1124	12	Jodie
16	male	day910	1183	13	Jodie
16	male	day911	1297	14	Jodie
16	male	day912	1313	15	Jodie
17	female	day1	340	4	Jodie
17	female	day2	387	5	Jodie
17	female	day3	426	6	Jodie
17	female	day4	474	7	Jodie
17	female	day5	520	8	Jodie
17	female	day6	582	9	Jodie
