Treatment	Week	NND	Time in School	Bearing	Elevation	Speed
Gentamycin	-1	0.57416	95	102.7958	-9.7755	2.561073232
Gentamycin	-1	0.501053333	92	53.7079	-4.2043	2.847107204
Gentamycin	-1	0.061653333	100	33.6143	61.8978	0.328392853
Gentamycin	-1	0.141146667	100	24.4592	-52.8579	0.222897237
Gentamycin	-1	0.164253333	100	81.6601	-74.012	0.270351449
Gentamycin	-1	0.14204	100	37.1152	-57.6353	0.596982399
Gentamycin	-1	0.11824	100	118.5445	-33.8843	0.620030194
Gentamycin	-1	0.158293333	100	2.1549	30.6553	0.48256993
Gentamycin	-1	0.17392	100	49.3814	40.7696	0.271099291
Gentamycin	-1	0.05404	100	171.1364	-0.1479	0.514572005
Gentamycin	-1	0.08052	100	39.786	5.6317	0.636762046
Gentamycin	-1	0.212146667	100	23.3073	41.0676	0.830708056
Gentamycin	-1	0.071226667	100	157.0333	-20.6445	0.245905195
Gentamycin	-1	0.1426	100	0.9663	-65.3019	0.167729897
Gentamycin	-1	0.10384	100	18.078	-11.3045	0.718080986
Gentamycin	-1	0.093906667	100	39.8511	-12.1868	0.678341221
Gentamycin	0	0.440946667	100	158.6991	-8.9383	2.761546628
Gentamycin	0	0.510693333	100	63.8732	23.0674	1.599523706
Gentamycin	0	0.93232	100	56.3428	6.9003	6.602434728
Gentamycin	0	0.470106667	100	48.6747	0.9495	1.694919002
Gentamycin	0	0.324693333	90	58.0694	-15.7576	0.675449464
Gentamycin	0	0.729066667	91	2.8977	20.5174	2.260057798
Gentamycin	0	0.408853333	100	144.2617	-8.8288	1.665742849
Gentamycin	0	0.443746667	41	22.455	16.7438	1.367168854
Gentamycin	0	0.54088	92	40.7635	26.1693	2.275354809
Gentamycin	0	0.603626667	100	76.1028	-9.9001	3.582014527
Gentamycin	0	0.783733333	92	141.2492	-0.3355	3.325792711
Gentamycin	0	0.451546667	77	95.6275	8.6154	2.589645768
Gentamycin	0	1.56716	56	136.2178	-16.3446	6.113253571
Gentamycin	0	3.72112	100	109.5144	7.0344	3.018868412
Gentamycin	0	0.360733333	53	96.5337	-13.1746	1.800841579
Gentamycin	0	0.9166	41	120.0895	1.5034	7.01051148
Gentamycin	0	0.951266667	100	110.8806	-5.507	3.064764121
Gentamycin	0	0.598933333	92	71.6671	-28.0533	3.059619471
Gentamycin	0	0.82408	38	51.4453	24.4335	1.916415029
Gentamycin	0	0.89032	100	90.1195	-24.5233	2.111841208
Gentamycin	0	0.611426667	96	53.3294	-6.0491	2.104783331
Gentamycin	0	0.923266667	100	54.7974	-29.1729	2.730926694
Gentamycin	0	0.817653333	100	108.6724	-10.7589	2.042653593
Gentamycin	0	0.864293333	99	165.4011	27.9055	2.6777556
Gentamycin	0	0.788973333	100	9.7649	3.5328	2.459754764
Gentamycin	0	0.900386667	75	94.4463	-35.2746	3.16720255
Gentamycin	1	0.869693333	53	129.9642	-5.6913	2.571925926
Gentamycin	1	1.748106667	52	0.1413	-7.7015	4.642471968
Gentamycin	1	0.893693333	3	21.2264	-33.8087	4.946725122
Gentamycin	1	1.12536	22	5.485	14.6163	3.649152457
Gentamycin	1	0.73156	100	88.3797	30.9205	2.574615657
Gentamycin	1	0.842013333	96	71.1239	9.7105	3.800476907
Gentamycin	1	1.911466667	2	96.8699	-45.3138	2.487164264
